Datetime,AAPL,IBM,MSFT,TSLA
2024-09-12 09:30:00-04:00,221.67999267578125,209.8000030517578,422.7900085449219,224.6156005859375
2024-09-12 09:31:00-04:00,221.67990112304688,210.07000732421875,421.5,225.49000549316406
2024-09-12 09:32:00-04:00,221.8699951171875,,420.92498779296875,227.10000610351562
2024-09-12 09:33:00-04:00,221.98500061035156,210.22500610351562,422.2550048828125,228.6649932861328
2024-09-12 09:34:00-04:00,221.64999389648438,210.0749969482422,422.4800109863281,228.9105987548828
2024-09-12 09:35:00-04:00,221.30999755859375,210.02999877929688,422.04998779296875,229.56719970703125
2024-09-12 09:36:00-04:00,221.11000061035156,209.8300018310547,422.5375061035156,229.57000732421875
2024-09-12 09:37:00-04:00,221.60000610351562,210.0,422.70001220703125,229.9250030517578
2024-09-12 09:38:00-04:00,221.4199981689453,209.4199981689453,422.2900085449219,230.1741943359375
2024-09-12 09:39:00-04:00,220.90499877929688,209.49600219726562,421.6700134277344,229.28500366210938
2024-09-12 09:40:00-04:00,221.3000030517578,209.24000549316406,421.8699951171875,230.5200958251953
2024-09-12 09:41:00-04:00,221.04989624023438,208.69000244140625,421.385009765625,230.62669372558594
2024-09-12 09:42:00-04:00,221.2100067138672,208.60000610351562,421.739990234375,231.2899932861328
2024-09-12 09:43:00-04:00,220.80999755859375,209.05999755859375,421.5400085449219,230.3155975341797
2024-09-12 09:44:00-04:00,221.0500030517578,208.77999877929688,421.5950012207031,230.33990478515625
2024-09-12 09:45:00-04:00,221.03970336914062,208.76930236816406,421.75,230.2397003173828
2024-09-12 09:46:00-04:00,220.71719360351562,208.9550018310547,421.0799865722656,229.11000061035156
2024-09-12 09:47:00-04:00,,208.93649291992188,,
2024-09-12 09:48:00-04:00,220.5500030517578,208.85000610351562,420.95001220703125,228.6898956298828
2024-09-12 09:49:00-04:00,220.00999450683594,208.3800048828125,420.5249938964844,227.96670532226562
2024-09-12 09:50:00-04:00,219.97000122070312,208.5,420.1499938964844,227.39529418945312
2024-09-12 09:51:00-04:00,220.44000244140625,208.75489807128906,420.7900085449219,227.727294921875
2024-09-12 09:52:00-04:00,220.47669982910156,208.88499450683594,421.2699890136719,228.2200927734375
2024-09-12 09:53:00-04:00,220.75999450683594,208.9949951171875,421.20001220703125,229.24070739746094
2024-09-12 09:54:00-04:00,220.85000610351562,209.17999267578125,421.5899963378906,230.13999938964844
2024-09-12 09:55:00-04:00,220.50999450683594,209.4199981689453,420.8800048828125,230.47000122070312
2024-09-12 09:56:00-04:00,220.83999633789062,209.5850067138672,420.8999938964844,230.4196014404297
2024-09-12 09:57:00-04:00,220.8699951171875,209.4499969482422,420.95001220703125,229.91000366210938
2024-09-12 09:58:00-04:00,220.82000732421875,209.55999755859375,420.9100036621094,229.52000427246094
2024-09-12 09:59:00-04:00,221.02999877929688,209.58999633789062,421.07000732421875,229.94000244140625
2024-09-12 10:00:00-04:00,221.16990661621094,209.63999938964844,420.92999267578125,229.8699951171875
2024-09-12 10:01:00-04:00,221.27999877929688,209.5449981689453,420.739990234375,230.22999572753906
2024-09-12 10:02:00-04:00,221.3699951171875,209.63999938964844,421.20001220703125,229.54029846191406
2024-09-12 10:03:00-04:00,221.4499053955078,209.63499450683594,421.4549865722656,229.84829711914062
2024-09-12 10:04:00-04:00,221.28179931640625,209.61500549316406,420.9324951171875,228.6999969482422
2024-09-12 10:05:00-04:00,221.4600067138672,209.75,420.9100036621094,228.19610595703125
2024-09-12 10:06:00-04:00,221.61000061035156,209.68499755859375,420.82000732421875,228.19000244140625
2024-09-12 10:07:00-04:00,221.5399932861328,209.59500122070312,420.7300109863281,228.02000427246094
2024-09-12 10:08:00-04:00,221.5399932861328,209.75,420.6499938964844,227.91000366210938
2024-09-12 10:09:00-04:00,221.50010681152344,209.7100067138672,420.8245849609375,227.9949951171875
2024-09-12 10:10:00-04:00,221.57870483398438,210.2100067138672,421.0400085449219,228.05499267578125
2024-09-12 10:11:00-04:00,221.5299072265625,210.23410034179688,421.0400085449219,228.21839904785156
2024-09-12 10:12:00-04:00,221.66000366210938,210.26963806152344,421.5450134277344,229.28909301757812
2024-09-12 10:13:00-04:00,221.73890686035156,210.3800048828125,421.8599853515625,229.82000732421875
2024-09-12 10:14:00-04:00,221.93499755859375,210.50999450683594,422.2257995605469,229.64500427246094
2024-09-12 10:15:00-04:00,222.0399932861328,210.55999755859375,422.19000244140625,229.75999450683594
2024-09-12 10:16:00-04:00,222.0998992919922,210.7449951171875,422.2300109863281,230.0399932861328
2024-09-12 10:17:00-04:00,,210.74020385742188,422.7799987792969,230.42649841308594
2024-09-12 10:18:00-04:00,222.25999450683594,210.86500549316406,422.7900085449219,230.08619689941406
2024-09-12 10:19:00-04:00,222.24000549316406,210.83999633789062,422.68011474609375,229.75
2024-09-12 10:20:00-04:00,222.32000732421875,210.75,422.6600036621094,230.1199951171875
2024-09-12 10:21:00-04:00,222.28419494628906,210.65179443359375,422.3900146484375,229.97999572753906
2024-09-12 10:22:00-04:00,222.1699981689453,210.6750030517578,422.29998779296875,229.6667938232422
2024-09-12 10:23:00-04:00,222.1699981689453,210.5449981689453,422.05999755859375,229.22000122070312
2024-09-12 10:24:00-04:00,222.18499755859375,210.53500366210938,421.7300109863281,228.8227996826172
2024-09-12 10:25:00-04:00,222.1959991455078,210.61500549316406,421.7799987792969,228.75999450683594
2024-09-12 10:26:00-04:00,222.25999450683594,210.4949951171875,422.1300048828125,228.89340209960938
2024-09-12 10:27:00-04:00,222.05999755859375,210.3925018310547,421.67999267578125,229.27999877929688
